Focus area: 24-Respiratory Diseases - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 data,1998 raw value,1998 se,1999  data,1999  raw value,1999  se,2000  data,2000  raw value,2000  se,2001  data,2001  raw value,2001  se,2002  data,2002  raw value,2002  se,2003  data,2003  raw value,2003  se,2004  data,2004  raw value,2004  se,2005  data,2005  raw value,2005  se,2006  data,2006  raw value,2006  se,2007 data,2007 raw value,2007 se,2008 data,2008 raw value,2008 se
                                                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24-1a Deaths from asthma - Children (per million population, aged under 5 years)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                    White, not Hispanic or Latino",---,.,.,DSU,27.6,10.4,DSU,47.2,13.6,DSU,35.3,11.8,DSU,43.0,13.0,DSU,19.3,8.6,DSU,22.9,9.4,DSU,30.1,10.6,DSU,41.0,12.4,---,.,.,---,.,.
                 Female,---,.,.,DSU,62.7,17.4,115.6,115.6,23.6,DSU,72.1,18.6,DSU,57.6,16.6,DSU,62.2,17.2,DSU,47.7,15.1,DSU,51.9,15.7,DSU,60.3,16.7,---,.,.,---,.,.
                 Male,---,.,.,DSU,37.1,16.6,DSU,44.2,18.0,DSU,72.9,23.1,DSU,43.5,17.7,DSU,21.4,12.3,DSU,20.9,12.1,DSU,47.8,18.0,DSU,34.1,15.3,---,.,.,---,.,.
              STATE:Missouri,---,.,.,66.3,66.3,9.4,53.0,53.0,8.4,43.6,43.6,7.6,52.8,52.8,8.4,34.2,34.2,6.7,47.0,47.0,7.8,42.7,42.7,7.4,33.4,33.4,6.5,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,339.7,339.6,DSU,282.9,282.8,DSU,0.0,0.0,DSU,0.0,0.0,DSU,208.8,208.8,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,92.8,41.5,DSU,129.2,48.8,DSU,54.8,31.6,DSU,108.9,44.5,DSU,71.5,35.7,DSU,71.3,35.7,DSU,88.0,39.4,DSU,52.7,30.4,---,.,.,---,.,.
                 White,---,.,.,63.2,63.2,9.5,46.0,46.0,8.1,43.1,43.1,7.9,48.9,48.9,8.4,30.1,30.1,6.6,45.6,45.6,8.1,39.5,39.5,7.5,32.2,32.2,6.7,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,222.0,222.0,DSU,192.3,192.3,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,65.4,65.4,9.3,52.0,52.0,8.3,43.9,43.9,7.6,53.2,53.2,8.4,34.5,34.5,6.8,47.4,47.4,7.9,43.1,43.1,7.5,33.7,33.7,6.6,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,93.1,41.6,DSU,129.8,49.0,DSU,55.0,31.8,DSU,109.4,44.7,DSU,71.8,35.9,DSU,71.6,35.8,DSU,88.5,39.6,DSU,52.9,30.6,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,63.6,63.6,9.6,44.9,44.9,8.1,43.4,43.4,7.9,49.3,49.3,8.4,30.4,30.4,6.6,46.0,46.0,8.1,39.9,39.9,7.5,32.5,32.5,6.8,---,.,.,---,.,.
                 Female,---,.,.,78.0,78.0,13.2,73.6,73.6,12.8,49.1,49.1,10.5,60.5,60.5,11.6,47.0,47.0,10.3,60.4,60.4,11.6,51.2,51.2,10.7,50.6,50.6,10.5,---,.,.,---,.,.
                 Male,---,.,.,DSU,49.1,12.7,DSU,22.8,8.6,DSU,35.6,10.7,DSU,41.8,11.6,DSU,16.0,7.1,DSU,28.3,9.4,DSU,30.9,9.8,DSU,9.3,5.3,---,.,.,---,.,.
              STATE:Montana,---,.,.,DSU,125.1,32.3,DSU,82.7,26.1,DSU,98.3,28.4,DSU,105.9,29.4,DSU,79.9,25.3,DSU,79.0,25.0,DSU,54.3,20.5,DSU,84.2,25.4,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,377.1,377.0,DSU,0.0,0.0,DSU,336.8,336.8,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,280.0,279.9,DSU,0.0,0.0,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,12987.0,12902.4,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 White,---,.,.,DSU,111.2,30.8,DSU,85.0,26.9,DSU,92.7,28.0,DSU,109.1,30.3,DSU,82.5,26.1,DSU,81.6,25.8,DSU,48.1,19.7,DSU,87.2,26.3,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,125.7,32.5,DSU,83.3,26.3,DSU,99.0,28.6,DSU,106.7,29.6,DSU,80.5,25.5,DSU,79.7,25.2,DSU,54.8,20.7,DSU,85.0,25.6,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,12987.0,12902.4,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,111.8,31.0,DSU,85.6,27.1,DSU,93.4,28.2,DSU,109.9,30.5,DSU,83.1,26.3,DSU,82.3,26.0,DSU,48.6,19.8,DSU,88.0,26.5,---,.,.,---,.,.
                 Female,---,.,.,DSU,118.2,41.8,DSU,102.9,38.9,DSU,102.2,38.6,DSU,160.1,48.3,DSU,85.8,35.0,DSU,70.9,31.7,DSU,70.0,31.3,DSU,124.5,41.5,---,.,.,---,.,.
                 Male,---,.,.,DSU,133.9,50.6,DSU,56.7,32.7,DSU,93.2,41.7,DSU,37.0,26.1,DSU,72.5,36.2,DSU,89.3,39.9,DSU,34.8,24.6,DSU,34.3,24.3,---,.,.,---,.,.
              STATE:Nebraska,---,.,.,116.1,116.1,22.3,120.6,120.6,22.8,99.0,99.0,20.6,107.7,107.7,21.5,86.1,86.1,19.2,DSU,82.0,18.8,132.7,132.7,23.8,DSU,68.2,17.0,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,1264.2,1263.4,DSU,0.0,0.0,DSU,1239.2,1238.4,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,899.3,898.9,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,0.0,0.0,DSU,890.1,444.8,DSU,0.0,0.0,DSU,217.6,217.6,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 White,---,.,.,118.9,118.9,22.9,106.2,106.2,21.7,97.3,97.3,20.8,101.9,101.9,21.3,DSU,84.2,19.3,DSU,84.5,19.4,136.9,136.9,24.6,DSU,70.4,17.6,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,113.0,113.0,22.2,122.0,122.0,23.1,100.3,100.3,20.9,109.2,109.2,21.8,87.3,87.3,19.5,DSU,78.9,18.6,134.9,134.9,24.2,DSU,69.4,17.3,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,0.0,0.0,DSU,896.7,448.1,DSU,0.0,0.0,DSU,219.5,219.5,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,115.7,115.7,22.7,107.4,107.4,21.9,98.6,98.6,21.0,103.3,103.3,21.5,DSU,85.5,19.6,DSU,81.3,19.2,139.1,139.1,25.0,DSU,71.6,17.9,---,.,.,---,.,.
                 Female,---,.,.,DSU,124.0,30.1,146.5,146.5,32.7,146.8,146.8,32.8,DSU,140.0,32.1,DSU,88.4,25.5,DSU,140.4,32.2,183.7,183.7,36.7,DSU,88.1,25.4,---,.,.,---,.,.
                 Male,---,.,.,DSU,104.8,33.1,DSU,83.7,29.6,DSU,31.2,18.0,DSU,62.2,25.4,DSU,82.8,29.3,DSU,0.0,0.0,DSU,61.6,25.1,DSU,40.7,20.3,---,.,.,---,.,.
              STATE:Nevada,---,.,.,DSU,74.8,18.7,DSU,63.9,17.1,DSU,47.7,14.4,DSU,54.1,15.0,DSU,19.9,8.9,DSU,15.3,7.6,DSU,22.0,9.0,DSU,21.7,8.8,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,579.0,578.9,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,423.9,423.8,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,129.9,129.8,DSU,0.0,0.0,DSU,223.8,158.2,DSU,0.0,0.0,DSU,92.4,92.4,DSU,0.0,0.0,DSU,63.6,63.6,DSU,58.7,58.7,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,107.4,107.4,DSU,204.5,144.6,DSU,96.0,96.0,DSU,181.9,128.6,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,61.7,61.7,---,.,.,---,.,.
                 White,---,.,.,DSU,66.6,18.5,DSU,60.3,17.4,DSU,38.2,13.5,DSU,50.6,15.2,DSU,13.3,7.7,DSU,17.3,8.6,DSU,20.9,9.3,DSU,16.6,8.3,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,172.5,122.0,DSU,0.0,0.0,DSU,71.7,71.7,DSU,64.4,64.4,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,69.2,18.5,DSU,67.7,18.1,DSU,46.1,14.6,DSU,53.4,15.4,DSU,21.4,9.6,DSU,12.4,7.1,DSU,23.8,9.7,DSU,23.7,9.7,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,109.5,109.5,DSU,208.2,147.2,DSU,97.9,97.9,DSU,186.2,131.6,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,64.0,64.0,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,59.7,18.0,DSU,64.1,18.5,DSU,35.7,13.5,DSU,49.3,15.6,DSU,14.3,8.3,DSU,14.1,8.1,DSU,22.9,10.2,DSU,18.3,9.1,---,.,.,---,.,.
                 Female,---,.,.,DSU,78.5,26.2,DSU,68.4,24.2,DSU,65.0,23.0,DSU,62.6,22.1,DSU,22.5,13.0,DSU,14.3,10.1,DSU,27.4,13.7,DSU,27.0,13.5,---,.,.,---,.,.
                 Male,---,.,.,DSU,70.4,26.6,DSU,58.8,24.0,DSU,27.8,16.1,DSU,44.5,19.9,DSU,17.1,12.1,DSU,16.4,11.6,DSU,15.8,11.1,DSU,15.5,11.0,---,.,.,---,.,.
              STATE:New Hampshire,---,.,.,DSU,40.9,16.7,DSU,81.1,23.4,DSU,53.1,18.8,DSU,65.5,20.7,DSU,77.8,22.5,DSU,51.1,18.1,DSU,55.2,18.4,DSU,36.9,15.1,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 White,---,.,.,DSU,41.2,16.8,DSU,81.8,23.6,DSU,53.6,19.0,DSU,66.3,21.0,DSU,78.7,22.7,DSU,51.7,18.3,DSU,55.9,18.6,DSU,37.4,15.3,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,34.2,15.3,DSU,81.4,23.5,DSU,46.7,17.6,DSU,65.9,20.8,DSU,71.7,21.6,DSU,51.4,18.2,DSU,55.6,18.5,DSU,37.2,15.2,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,34.5,15.4,DSU,82.1,23.7,DSU,47.1,17.8,DSU,66.6,21.0,DSU,72.5,21.9,DSU,52.0,18.4,DSU,56.2,18.7,DSU,37.7,15.4,---,.,.,---,.,.
                 Female,---,.,.,DSU,35.1,20.3,DSU,104.9,34.9,DSU,57.5,25.7,DSU,91.1,32.2,DSU,90.4,32.0,DSU,78.4,29.6,DSU,75.0,28.3,DSU,32.3,18.6,---,.,.,---,.,.
                 Male,---,.,.,DSU,49.0,28.3,DSU,48.3,27.9,DSU,47.1,27.2,DSU,30.9,21.8,DSU,60.9,30.4,DSU,14.9,14.9,DSU,28.7,20.3,DSU,43.0,24.8,---,.,.,---,.,.
              STATE:New Jersey,---,.,.,46.0,46.0,6.4,47.6,47.6,6.5,42.9,42.9,6.2,40.1,40.1,6.0,36.5,36.5,5.7,46.2,46.2,6.4,39.0,39.0,5.9,39.0,39.0,5.9,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,399.4,399.3,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,38.7,38.7,DSU,73.4,51.9,DSU,0.0,0.0,DSU,0.0,0.0,DSU,54.1,38.3,DSU,73.4,42.4,DSU,44.9,31.8,DSU,41.5,29.3,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,134.1,37.2,DSU,111.4,33.6,DSU,78.9,27.9,DSU,38.7,19.3,DSU,66.0,24.9,DSU,93.3,29.5,DSU,64.1,24.2,DSU,71.2,25.2,---,.,.,---,.,.
                 White,---,.,.,37.6,37.6,6.2,40.6,40.6,6.4,40.7,40.7,6.4,41.8,41.8,6.5,32.7,32.7,5.8,40.0,40.0,6.4,36.0,36.0,6.1,34.2,34.2,6.0,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,36.5,25.8,DSU,52.9,30.5,DSU,48.9,28.2,DSU,137.2,45.7,DSU,28.3,20.0,DSU,40.6,23.4,DSU,38.2,22.1,DSU,59.7,26.7,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,46.5,46.5,6.6,47.3,47.3,6.7,42.6,42.6,6.3,34.1,34.1,5.7,37.0,37.0,5.9,45.6,45.6,6.6,39.0,39.0,6.1,37.4,37.4,6.0,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,139.0,38.6,DSU,115.5,34.8,DSU,81.9,29.0,DSU,40.2,20.1,DSU,68.8,26.0,DSU,97.3,30.8,DSU,66.9,25.3,DSU,74.7,26.4,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,37.5,37.5,6.3,39.7,39.7,6.5,39.9,39.9,6.6,34.8,34.8,6.1,32.8,32.8,6.0,38.6,38.6,6.5,35.5,35.5,6.3,31.5,31.5,6.0,---,.,.,---,.,.
                 Female,---,.,.,58.7,58.7,9.4,54.0,54.0,9.0,59.9,59.9,9.5,44.9,44.9,8.2,47.9,47.9,8.5,58.2,58.2,9.3,47.7,47.7,8.4,49.7,49.7,8.6,---,.,.,---,.,.
                 Male,---,.,.,DSU,27.0,7.8,DSU,38.1,9.2,DSU,17.8,6.3,DSU,33.1,8.6,DSU,19.8,6.6,DSU,28.5,7.9,DSU,26.2,7.6,DSU,23.7,7.2,---,.,.,---,.,.
              STATE:New Mexico,---,.,.,DSU,86.4,20.4,DSU,84.8,20.0,DSU,69.0,17.8,90.3,90.3,20.2,DSU,57.7,16.0,DSU,78.4,18.5,DSU,46.8,14.1,DSU,49.5,14.3,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,101.3,101.3,DSU,93.7,93.7,DSU,93.5,93.5,DSU,269.6,155.7,DSU,83.1,83.1,DSU,79.6,79.6,DSU,0.0,0.0,DSU,73.7,73.7,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,0.0,0.0,DSU,687.8,687.5,DSU,0.0,0.0,DSU,606.1,605.9,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,321.3,321.3,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 White,---,.,.,DSU,87.4,21.2,DSU,81.2,20.3,DSU,64.3,17.8,DSU,77.9,19.5,DSU,57.7,16.6,DSU,80.4,19.5,DSU,51.0,15.4,DSU,49.4,14.9,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,85.1,38.1,DSU,32.9,23.3,DSU,77.9,34.9,DSU,45.3,26.2,DSU,44.1,25.5,DSU,42.7,24.7,DSU,41.4,23.9,DSU,26.5,18.8,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,86.9,24.1,DSU,105.6,26.4,DSU,65.2,20.6,DSU,109.5,26.6,DSU,63.6,20.1,DSU,94.2,24.3,DSU,49.2,17.4,DSU,59.8,18.9,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,346.9,346.8,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,87.9,25.4,DSU,101.8,27.2,DSU,57.5,20.3,DSU,92.5,25.7,DSU,63.7,21.2,DSU,98.1,26.2,DSU,55.3,19.5,DSU,60.3,20.1,---,.,.,---,.,.
                 Female,---,.,.,DSU,111.2,30.8,DSU,100.8,29.1,DSU,74.0,24.7,DSU,89.0,26.8,DSU,63.6,22.5,DSU,85.4,25.7,DSU,60.7,21.5,DSU,44.2,18.1,---,.,.,---,.,.
                 Male,---,.,.,DSU,54.7,24.5,DSU,64.4,26.3,DSU,62.6,25.6,DSU,92.0,30.7,DSU,50.3,22.5,DSU,69.5,26.3,DSU,29.1,16.8,DSU,56.1,22.9,---,.,.,---,.,.
              STATE:New York,---,.,.,65.4,65.4,5.2,51.1,51.1,4.6,52.8,52.8,4.6,46.9,46.9,4.4,52.2,52.2,4.6,51.3,51.3,4.5,47.7,47.7,4.4,40.0,40.0,4.0,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,114.5,114.5,DSU,0.0,0.0,DSU,101.9,101.9,DSU,0.0,0.0,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,136.8,43.2,DSU,25.8,18.2,DSU,46.2,23.1,DSU,53.7,24.0,DSU,61.0,24.9,DSU,69.0,26.1,DSU,46.3,20.7,DSU,26.3,15.2,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,119.9,119.9,20.9,131.5,131.5,21.6,130.6,130.6,21.2,83.3,83.3,16.7,83.7,83.7,16.4,84.3,84.3,16.5,94.8,94.8,17.3,DSU,56.3,13.3,---,.,.,---,.,.
                 White,---,.,.,55.9,55.9,5.2,41.3,41.3,4.5,42.3,42.3,4.5,41.5,41.5,4.5,46.8,46.8,4.8,45.8,45.8,4.7,40.4,40.4,4.4,38.5,38.5,4.3,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,228.4,228.4,37.6,119.5,119.5,26.7,DSU,95.1,23.1,DSU,95.6,22.5,104.9,104.9,22.9,107.5,107.5,22.9,DSU,79.7,19.3,DSU,72.3,18.1,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,52.5,52.5,4.8,45.2,45.2,4.4,48.1,48.1,4.6,40.7,40.7,4.2,47.6,47.6,4.6,45.5,45.5,4.5,44.3,44.3,4.4,36.9,36.9,4.0,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,127.8,127.8,22.6,140.5,140.5,23.4,136.3,136.3,22.7,88.4,88.4,18.0,92.9,92.9,18.2,93.9,93.9,18.4,102.3,102.3,19.0,DSU,62.9,14.8,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,39.7,39.7,4.5,33.4,33.4,4.1,36.3,36.3,4.3,33.9,33.9,4.2,39.9,39.9,4.6,37.3,37.3,4.4,35.2,35.2,4.3,33.7,33.7,4.2,---,.,.,---,.,.
                 Female,---,.,.,72.0,72.0,7.0,53.0,53.0,6.0,60.3,60.3,6.4,53.4,53.4,6.0,57.8,57.8,6.2,67.2,67.2,6.7,54.7,54.7,6.0,52.2,52.2,5.9,---,.,.,---,.,.
                 Male,---,.,.,55.5,55.5,7.6,48.1,48.1,7.0,41.5,41.5,6.5,37.2,37.2,6.1,43.9,43.9,6.6,27.9,27.9,5.3,37.4,37.4,6.1,22.3,22.3,4.7,---,.,.,---,.,.
              STATE:North Carolina,---,.,.,71.7,71.7,8.6,76.4,76.4,8.9,69.0,69.0,8.4,56.1,56.1,7.5,53.1,53.1,7.2,55.2,55.2,7.3,52.2,52.2,7.0,57.6,57.6,7.3,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,159.4,159.4,DSU,149.7,149.7,DSU,142.5,142.4,DSU,137.0,137.0,DSU,252.0,178.1,DSU,0.0,0.0,DSU,0.0,0.0,DSU,113.5,113.5,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,162.3,162.2,DSU,0.0,0.0,DSU,0.0,0.0,DSU,124.1,124.1,DSU,0.0,0.0,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,129.7,129.7,29.0,DSU,116.6,27.5,DSU,88.9,23.7,DSU,88.2,23.6,DSU,94.0,24.3,DSU,104.0,25.2,DSU,89.6,23.1,DSU,76.5,21.2,---,.,.,---,.,.
